Location,Total_Transactions,Total_Revenue,Average_Transaction,Maximum_Transaction,Minimum_Transaction
Albuquerque,41,10214.09,249.12414634146342,1021.16,10.07
Atlanta,61,16052.26,263.15180327868853,1143.67,1.21
Austin,59,22740.9,385.43898305084747,1397.59,0.84
Baltimore,51,15154.460000000001,297.14627450980396,1137.63,2.51
Boston,61,16793.23,275.29885245901636,1087.9,0.32
Charlotte,68,17682.66,260.03911764705884,1431.33,3.8
Chicago,60,16225.82,270.43033333333335,830.01,1.93
Colorado Springs,60,20344.63,339.0771666666667,1493.0,0.86
Columbus,54,19079.18,353.31814814814817,1831.02,6.3
Dallas,49,10888.19,222.20795918367347,896.79,7.5
Denver,62,15661.74,252.60870967741934,1221.65,3.8
Detroit,63,20609.76,327.1390476190476,1162.42,2.03
El Paso,46,16997.55,369.51195652173914,1392.54,12.62
Fort Worth,70,20776.74,296.81057142857145,1342.25,3.44
Fresno,60,13390.95,223.1825,820.62,5.66
Houston,63,19416.65,308.2007936507937,1271.9,5.76
Indianapolis,58,16522.97,284.8787931034483,1212.51,1.14
Jacksonville,60,20519.47,341.9911666666667,1192.2,10.92
Kansas City,61,18768.5,307.6803278688525,1176.28,0.45
Las Vegas,55,16428.329999999998,298.69690909090906,1225.5,7.31
Los Angeles,69,19675.75,285.15579710144925,1612.37,0.99
Louisville,51,13505.1,264.8058823529412,1647.74,8.75
Memphis,63,21170.53,336.04015873015874,1762.28,9.83
Mesa,61,19163.64,314.15803278688526,795.31,8.65
Miami,64,16969.23,265.14421875,1454.52,3.65
Milwaukee,55,15235.14,277.00254545454544,991.82,7.56
Nashville,55,14532.52,264.22763636363635,1416.69,18.23
New York,58,17640.23,304.14189655172413,1427.71,5.12
Oklahoma City,68,21716.04,319.3535294117647,1510.71,0.26
Omaha,65,18404.35,283.14384615384614,1142.83,4.15
Philadelphia,67,19469.32,290.58686567164176,1512.99,4.39
Phoenix,55,19064.66,346.6301818181818,1607.55,7.95
Portland,42,14222.11,338.62166666666667,1919.11,26.27
Raleigh,59,17101.97,289.8638983050848,1360.67,15.95
Sacramento,53,12974.5,244.80188679245282,973.39,1.41
San Antonio,59,19323.13,327.5106779661017,1830.0,3.42
San Diego,59,19222.41,325.8035593220339,1531.31,2.5
San Francisco,57,16840.64,295.4498245614035,1309.79,1.82
San Jose,59,20127.87,341.15033898305086,1235.69,3.85
Seattle,61,14440.09,236.7227868852459,997.43,1.98
Tucson,67,20459.76,305.36955223880597,1182.86,5.71
Virginia Beach,55,15178.960000000001,275.98109090909094,1173.74,14.26
Washington,48,16849.54,351.03208333333333,1422.55,1.87
