Total_Transactions,Total_Amount,Average_Amount,Maximum_Amount,Minimum_Amount
2,260.76,130.38,212.97,47.79
7,2056.21,293.7442857142857,516.47,12.62
5,1266.3400000000001,253.26800000000003,416.62,20.17
9,2180.08,242.2311111111111,642.54,13.16
9,3131.77,347.97444444444443,680.76,107.48
4,1017.72,254.43,611.15,74.88
5,1495.3799999999999,299.07599999999996,637.75,90.88
1,76.16,76.16,76.16,76.16
5,984.08,196.816,425.18,74.85
7,2768.67,395.5242857142857,1086.6,7.56
7,2438.26,348.3228571428572,733.29,25.36
6,2067.78,344.63000000000005,927.45,8.65
8,1631.28,203.91,427.69,33.46
9,3134.2799999999997,348.25333333333333,719.76,10.3
4,1148.74,287.185,774.48,50.9
6,2271.9700000000003,378.6616666666667,1105.88,26.27
5,1133.45,226.69,492.84,60.11
3,1658.6699999999998,552.89,1228.81,98.54
4,948.19,237.0475,489.31,41.13
9,3788.01,420.89000000000004,881.1,28.52
8,4263.34,532.9175,1142.83,180.24
4,775.6800000000001,193.92000000000002,514.33,1.82
6,1251.74,208.62333333333333,422.9,59.73
5,1426.94,285.38800000000003,820.46,28.78
2,415.37,207.685,350.11,65.26
6,952.11,158.685,329.69,39.31
3,557.54,185.84666666666666,277.02,18.46
3,2170.17,723.39,1664.33,107.48
6,1942.1200000000001,323.68666666666667,1192.95,11.18
9,2969.7,329.96666666666664,520.86,76.89
9,3384.66,376.0733333333333,1020.73,43.91
6,900.99,150.165,397.01,40.57
4,1007.9000000000001,251.97500000000002,637.97,72.47
9,2151.17,239.0188888888889,813.78,53.51
5,1608.4,321.68,740.25,26.92
2,253.25,126.625,173.45,79.8
1,301.73,301.73,301.73,301.73
7,2120.76,302.96571428571434,737.46,4.15
5,2925.57,585.114,1237.56,199.8
7,1149.68,164.24,371.69,7.49
5,1054.04,210.808,336.05,114.15
4,2014.75,503.6875,729.38,309.42
1,487.32,487.32,487.32,487.32
5,1845.12,369.024,1074.29,72.68
3,1069.95,356.65000000000003,942.7,28.38
4,1612.2,403.05,750.95,123.38
3,1602.27,534.09,1283.97,14.1
2,1113.77,556.885,609.14,504.63
5,1019.56,203.91199999999998,334.07,24.19
4,949.2,237.3,312.47,186.55
3,424.46999999999997,141.48999999999998,409.59,3.42
7,703.3100000000001,100.47285714285715,212.74,24.77
9,1751.77,194.64111111111112,738.94,22.46
5,941.1099999999999,188.22199999999998,386.68,33.89
6,498.66,83.11,168.34,18.56
5,1127.62,225.52399999999997,598.66,22.54
7,1719.58,245.6542857142857,583.92,22.62
4,592.97,148.2425,344.97,55.98
4,1552.72,388.18,641.06,74.27
5,957.06,191.41199999999998,391.08,21.15
3,689.82,229.94000000000003,476.63,74.86
10,3192.72,319.272,873.65,4.39
4,1411.05,352.7625,606.27,50.43
5,1100.17,220.03400000000002,390.09,122.98
4,863.0699999999999,215.76749999999998,347.25,57.34
7,3224.38,460.6257142857143,1309.79,20.28
4,2641.99,660.4975,1045.22,259.9
7,1617.58,231.08285714285714,603.54,8.81
8,1891.8700000000001,236.48375000000001,890.24,31.19
8,4050.12,506.265,1647.74,78.91
4,1289.02,322.255,645.04,69.4
5,1834.82,366.964,953.17,31.06
3,397.1,132.36666666666667,278.23,17.45
5,1091.8700000000001,218.37400000000002,647.85,64.12
7,1660.0400000000002,237.14857142857144,515.94,45.9
6,1756.3200000000002,292.72,651.82,20.62
6,2937.12,489.52,1156.18,16.73
5,515.02,103.00399999999999,301.39,21.4
6,2238.37,373.06166666666667,991.82,63.76
3,607.37,202.45666666666668,315.39,4.47
3,722.08,240.69333333333336,436.77,18.14
6,2753.38,458.8966666666667,1531.31,2.03
2,502.03,251.015,498.59,3.44
6,1695.71,282.61833333333334,702.87,14.28
7,3190.07,455.7242857142857,1137.63,11.57
9,1842.47,204.7188888888889,540.4,32.91
2,513.54,256.77,295.93,217.61
5,1201.26,240.252,557.78,67.17
9,2579.9700000000003,286.66333333333336,839.33,11.19
3,1077.01,359.00333333333333,927.16,49.84
8,2317.6,289.7,793.13,64.9
9,3165.4300000000003,351.7144444444445,1021.38,48.72
4,224.01999999999998,56.004999999999995,120.17,13.92
8,3181.87,397.73375,1432.02,10.92
3,882.3,294.09999999999997,535.4,151.14
3,261.72,87.24000000000001,185.07,0.26
5,3212.57,642.514,1340.19,137.57
4,2510.98,627.745,1041.88,226.37
3,447.33000000000004,149.11,224.22,71.29
3,299.9,99.96666666666665,166.55,54.91
5,826.62,165.324,316.37,24.86
5,2145.0,429.0,795.96,36.97
1,275.2,275.2,275.2,275.2
3,381.82,127.27333333333333,136.82,122.35
6,2064.18,344.03,716.93,169.47
5,2980.3199999999997,596.064,1830.0,20.36
6,1920.36,320.06,849.76,134.7
2,418.91999999999996,209.45999999999998,389.7,29.22
8,2507.77,313.47125,1250.94,19.39
7,3071.73,438.81857142857143,1493.0,21.49
1,554.15,554.15,554.15,554.15
4,1340.72,335.18,643.02,174.39
7,2221.26,317.3228571428572,1049.92,27.07
3,752.09,250.6966666666667,581.65,85.01
6,1180.23,196.705,408.62,5.29
1,55.32,55.32,55.32,55.32
4,1250.6,312.65,692.55,85.03
6,1639.27,273.21166666666664,761.73,54.61
6,1744.58,290.7633333333333,730.1,85.73
2,294.73,147.365,213.76,80.97
6,1556.39,259.39833333333337,613.7,11.02
4,919.0600000000001,229.76500000000001,578.49,77.54
4,1190.82,297.705,819.48,23.4
6,1005.6899999999999,167.61499999999998,476.03,19.48
7,1519.86,217.12285714285713,643.03,73.55
2,545.4499999999999,272.72499999999997,539.81,5.64
7,3224.8900000000003,460.6985714285715,1397.59,14.09
4,1095.42,273.855,586.85,83.95
9,2862.83,318.09222222222223,720.13,147.74
9,2829.42,314.38,879.25,50.99
4,385.93,96.4825,220.82,10.94
7,1398.29,199.75571428571428,447.95,11.46
1,49.59,49.59,49.59,49.59
2,145.89,72.945,106.23,39.66
8,3880.53,485.06625,886.19,61.98
3,377.17,125.72333333333334,333.67,12.11
2,416.4,208.2,355.0,61.4
8,1421.76,177.72,510.7,10.15
7,1052.82,150.40285714285713,241.45,2.51
5,1456.17,291.23400000000004,780.59,61.97
2,529.7,264.85,504.12,25.58
5,1378.78,275.756,447.83,73.88
8,1842.97,230.37125,518.85,29.91
5,1402.7800000000002,280.55600000000004,515.57,97.63
2,1171.78,585.89,1135.8,35.98
3,388.62,129.54,270.72,50.75
5,2868.79,573.758,1416.69,8.98
6,2218.1,369.68333333333334,1092.73,35.73
7,2030.56,290.08,992.17,17.78
4,1156.83,289.2075,382.07,168.11
4,969.87,242.4675,613.21,29.92
7,2451.89,350.27,1116.48,84.34
5,869.43,173.886,371.86,7.82
6,1757.2,292.8666666666667,607.28,91.5
5,2155.04,431.008,1271.9,148.13
5,1249.0900000000001,249.81800000000004,481.53,102.81
7,2354.62,336.3742857142857,775.6,104.23
5,1024.1399999999999,204.82799999999997,425.34,29.22
2,1026.89,513.445,757.1,269.79
4,1965.8999999999999,491.47499999999997,1182.86,68.62
2,89.75,44.875,55.99,33.76
2,615.91,307.955,388.77,227.14
6,3039.38,506.56333333333333,738.68,95.75
6,1761.16,293.5266666666667,820.62,33.03
6,1407.46,234.57666666666668,446.39,0.99
5,1581.57,316.31399999999996,490.76,103.81
1,77.83,77.83,77.83,77.83
2,175.69,87.845,136.48,39.21
7,1731.2800000000002,247.32571428571433,1192.2,9.1
5,889.9300000000001,177.98600000000002,577.73,22.61
