Total_Transactions,Total_Amount,Average_Amount,Maximum_Amount,Minimum_Amount
32,8320.08,260.0025,1362.55,5.04
31,9003.24,290.42709677419356,858.63,5.12
26,5564.44,214.01692307692306,870.3,20.22
31,8223.32,265.2683870967742,1309.79,3.44
32,11099.93,346.8728125,1168.26,23.71
16,6141.97,383.873125,1154.79,17.42
29,9373.56,323.22620689655173,992.17,19.11
21,4675.27,222.6319047619048,720.89,5.29
30,10526.039999999999,350.868,1162.42,1.82
19,6081.69,320.08894736842103,740.25,5.25
26,4797.83,184.53192307692308,680.76,8.37
21,8596.16,409.3409523809524,1831.02,2.03
33,10416.35,315.64696969696973,1392.54,35.84
33,9468.0,286.90909090909093,840.16,1.87
32,9536.75,298.0234375,1416.69,14.09
22,7022.09,319.1859090909091,1413.24,19.59
23,6256.48,272.02086956521737,626.9,6.3
27,10117.83,374.7344444444444,946.94,15.81
30,6302.4400000000005,210.08133333333336,668.67,4.15
22,7997.139999999999,363.50636363636363,1397.59,18.1
25,5830.22,233.2088,767.41,16.8
17,3522.76,207.22117647058826,561.58,7.61
18,4685.18,260.2877777777778,849.76,16.79
20,5988.85,299.4425,953.17,13.92
31,8364.92,269.83612903225804,885.33,3.85
45,13865.15,308.1144444444444,1294.81,38.14
19,4855.56,255.55578947368423,927.45,11.46
33,10316.32,312.6157575757576,1142.83,7.31
25,6782.32,271.2928,981.9,0.99
26,8250.35,317.32115384615383,1283.97,1.93
19,6371.3099999999995,335.33210526315787,1607.55,74.72
24,9312.6,388.02500000000003,1342.25,18.46
27,8760.34,324.457037037037,1919.11,0.32
21,7561.79,360.0852380952381,1228.81,29.91
22,6552.860000000001,297.85727272727274,793.13,6.03
25,9041.57,361.6628,1212.51,0.84
23,7930.43,344.8013043478261,1047.69,8.65
31,10443.51,336.8874193548387,854.64,12.11
25,6208.35,248.334,986.81,1.21
26,7570.16,291.15999999999997,981.76,40.83
20,5167.3099999999995,258.3655,820.46,58.7
29,8820.19,304.1444827586207,1079.11,2.5
24,5370.68,223.77833333333334,836.45,7.49
24,6986.58,291.1075,821.54,11.3
21,5832.88,277.75619047619045,777.92,33.06
26,7738.33,297.62807692307695,1108.46,8.81
28,8803.03,314.3939285714286,1105.88,9.1
26,10954.79,421.338076923077,1235.69,15.95
24,6501.65,270.90208333333334,1647.74,30.23
24,8487.07,353.62791666666664,1182.86,0.86
23,6723.83,292.34043478260867,1001.83,4.72
27,7965.25,295.00925925925924,1049.92,22.63
24,7334.74,305.6141666666667,1087.9,7.86
27,9432.61,349.35592592592593,1250.94,7.5
23,7020.29,305.23,1151.18,12.82
22,6234.67,283.3940909090909,876.57,11.46
27,6570.22,243.34148148148148,1116.48,3.8
27,9422.26,348.9725925925926,1142.76,21.15
27,6913.38,256.05111111111114,792.57,14.08
30,9999.23,333.30766666666665,1510.71,8.65
24,4467.36,186.14,832.3,17.67
29,6985.77,240.8886206896552,1036.66,5.29
21,3202.42,152.4961904761905,521.06,8.98
29,9393.369999999999,323.90931034482753,1664.33,5.64
33,7936.56,240.50181818181818,736.53,12.23
34,11948.75,351.43382352941177,1762.28,29.58
25,8663.33,346.5332,1169.59,33.65
32,9680.07,302.5021875,1192.95,12.62
15,2868.59,191.23933333333335,591.98,20.36
32,8362.26,261.320625,1282.86,5.76
27,8464.800000000001,313.5111111111112,1512.99,1.14
15,4713.48,314.23199999999997,1422.55,11.81
24,7993.87,333.0779166666667,1353.93,16.73
27,8926.72,330.61925925925925,1176.28,1.98
19,8846.13,465.58578947368414,1431.54,22.62
21,6969.98,331.9038095238095,1095.09,7.38
16,5052.56,315.785,1045.22,13.87
25,7552.7,302.108,1612.37,0.45
13,2095.33,161.17923076923077,430.83,20.64
19,5852.22,308.01157894736843,878.63,32.34
23,10154.77,441.5117391304348,1432.02,10.65
18,6587.57,365.9761111111111,1830.0,27.25
22,5635.42,256.1554545454546,841.28,10.94
27,6557.71,242.87814814814814,820.62,1.41
25,8160.24,326.4096,874.72,3.3
21,8265.49,393.59476190476187,1427.71,4.24
25,5699.41,227.97639999999998,1020.73,7.95
30,9001.630000000001,300.0543333333334,1454.52,12.18
22,7124.55,323.84318181818185,1241.05,39.69
24,4212.78,175.5325,1076.98,0.26
31,8917.55,287.6629032258064,1221.65,7.76
22,7573.58,344.25363636363636,1496.57,3.42
23,8500.41,369.5830434782609,1192.2,16.52
27,6730.5599999999995,249.27999999999997,877.81,11.09
21,4322.64,205.84,744.41,31.53
28,8189.34,292.4764285714286,1493.0,9.18
26,7824.99,300.9611538461538,958.9,7.79
22,5856.46,266.20272727272726,613.21,3.65
25,6488.08,259.5232,641.06,2.51
29,7761.97,267.6541379310345,750.95,38.95
