Month,Total_Transactions,Total_Revenue,Average_Transaction,Maximum_Transaction,Minimum_Transaction
April,161,41003.84,254.6822360248447,1360.67,1.82
August,224,71437.76,318.9185714285714,1512.99,0.32
December,204,63719.43,312.35014705882355,1647.74,1.98
February,218,57516.1,263.83532110091744,1496.57,0.86
January,220,65964.34,299.8379090909091,1431.33,0.84
July,195,58861.39,301.85328205128206,1612.37,0.45
June,212,61559.58,290.3753773584906,1919.11,1.41
March,197,61036.12,309.82802030456855,1830.0,3.3
May,220,62868.01,285.76368181818185,1282.86,8.81
November,221,66051.13,298.87389140271495,1413.24,0.26
October,226,64705.62,286.3080530973451,1762.28,1.14
September,214,72832.25,340.3376168224299,1831.02,0.99
